account_number,account_type,branch_code,branch_name,case_status,case_summary,closed_date,closing_balance,compensation_paid,complaint_type,customer_address,customer_email,customer_id,customer_name,customer_phone,dispute_amount,dispute_type,doc_id,doc_type,filed_date,priority,processed_date,request_date,request_status,request_type,resolution,rm_email,rm_id,rm_name,s3_path,sort_code,statement_date
46872343,Current,BR005,Leeds,,"Monthly Current account statement. Closing balance £48,528.11.",,48528.11,,,"Flat 36Y, Robinson isle, Smithtown, E14 6PL",lydiadunn@example.net,CUST00020,Gemma Clark-Parry,(0141) 4960819,,,STMT00001,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2024/07/STMT00001.pdf,84-79-17,2024-07-09
68727743,Business Current,BR010,Sheffield,,"Monthly Business Current account statement. Closing balance £49,758.30.",,49758.3,,,"6 Lydia branch, Hayleyborough, S5 9ZS",andreadavies@example.com,CUST00041,Jade Elliott-Adams,+44(0)113 4960408,,,STMT00002,eStatement,,,,,,,,robert.blackwood@securebankplc.com,RM017,Robert Blackwood,s3://banking-docs-poc-qahftr/estatements/2025/08/STMT00002.pdf,76-72-90,2025-08-29
14586850,Current,BR006,Bristol,,"Monthly Current account statement. Closing balance £11,506.67.",,11506.67,,,"89 Edwards creek, Daviestown, B2 2NA",robertsrosemary@example.net,CUST00032,Tracy Wilkinson-Davison,+44(0)1632 960235,,,STMT00003,eStatement,,,,,,,,carlos.mendez@securebankplc.com,RM009,Carlos Mendez,s3://banking-docs-poc-qahftr/estatements/2024/05/STMT00003.pdf,43-32-84,2024-05-20
00330923,Savings,BR004,Edinburgh,,"Monthly Savings account statement. Closing balance £46,046.07.",,46046.07,,,"Flat 69, Khan plaza, West Harriet, L1S 5NB",emily97@example.org,CUST00048,Francesca Lucas,(0141) 4960004,,,STMT00004,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2025/09/STMT00004.pdf,70-95-24,2025-09-03
65328710,Current,BR007,Cardiff,,"Monthly Current account statement. Closing balance £13,885.43.",,13885.43,,,"Flat 35, Schofield ramp, Roseside, M75 9FB",juliefield@example.org,CUST00008,Derek Clarke,+44909 8790520,,,STMT00005,eStatement,,,,,,,,george.whitfield@securebankplc.com,RM019,George Whitfield,s3://banking-docs-poc-qahftr/estatements/2024/07/STMT00005.pdf,29-90-30,2024-07-21
36763201,Premier,BR007,Cardiff,,"Monthly Premier account statement. Closing balance £8,321.79.",,8321.79,,,"7 Wood trail, Guymouth, G4 3UA",barry51@example.com,CUST00039,Terence Smith,+441414960870,,,STMT00006,eStatement,,,,,,,,george.whitfield@securebankplc.com,RM019,George Whitfield,s3://banking-docs-poc-qahftr/estatements/2025/06/STMT00006.pdf,38-32-99,2025-06-27
87133150,ISA,BR006,Bristol,,"Monthly ISA account statement. Closing balance £21,667.98.",,21667.98,,,"Flat 9, Linda ridges, North Bryan, M6D 0FR",dominic47@example.com,CUST00014,Jodie Pritchard-Baker,(020)74960896,,,STMT00007,eStatement,,,,,,,,patrick.devereux@securebankplc.com,RM015,Patrick Devereux,s3://banking-docs-poc-qahftr/estatements/2025/05/STMT00007.pdf,80-39-85,2025-05-03
43039117,Current,BR002,Manchester Central,,"Monthly Current account statement. Closing balance £28,239.91.",,28239.91,,,"427 Brown gardens, West Bethan, AB5 0WZ",turnerjosephine@example.com,CUST00012,Dr Duncan Greenwood,(0909) 879 0062,,,STMT00008,eStatement,,,,,,,,natalie.burke@securebankplc.com,RM012,Natalie Burke,s3://banking-docs-poc-qahftr/estatements/2026/01/STMT00008.pdf,78-26-26,2026-01-16
83777014,Savings,BR007,Cardiff,,"Monthly Savings account statement. Closing balance £27,409.04.",,27409.04,,,"Flat 40w, Davies tunnel, Lake Edwardshire, SM29 6NX",melissa67@example.net,CUST00055,Trevor Mills,01314960541,,,STMT00009,eStatement,,,,,,,,amelia.singh@securebankplc.com,RM016,Amelia Singh,s3://banking-docs-poc-qahftr/estatements/2024/07/STMT00009.pdf,61-98-41,2024-07-25
32677360,Savings,BR001,London City,,"Monthly Savings account statement. Closing balance £1,047.14.",,1047.14,,,"60 Mitchell expressway, Martinberg, B5 8WU",thomasking@example.org,CUST00019,Sharon Price,0191 498 0065,,,STMT00010,eStatement,,,,,,,,mohammed.al-rashid@securebankplc.com,RM003,Mohammed Al-Rashid,s3://banking-docs-poc-qahftr/estatements/2025/06/STMT00010.pdf,58-10-59,2025-06-26
